SR. No.,RollNo,Gender,Caste Category,PH,Ex-Serviceman,Sports,Widow,Obtain Marks
3967,212006004,M,ST,,,,,103.5856
3968,212006005,M,SEBC,,,,,85.1248
3969,212006008,F,SEBC,,,,,121.5336
3970,212006010,M,SEBC,,,,,138.1996
3971,212006011,M,SEBC,,,,,144.6096
3972,212006012,M,SEBC,,,,,132.046
3973,212006013,F,ST,,,,,81.2788
3974,212006014,F,SEBC,,,,,127.9436
3975,212006015,M,General(EWS),,,,,144.6096
3976,212006017,M,SEBC,,,,,109.7392
3977,212006018,F,SC,,,,,111.534
3978,212006021,F,General(EWS),,,,,103.842
3979,212006022,F,SEBC,,,,,151.0196
3980,212006023,M,SEBC,,,,,132.8152
3981,212006024,M,SC,,,,,118.7132
3982,212006025,F,General(EWS),,,,,101.5344
3983,212006030,M,General,,,,,117.1748
3984,212006033,M,SC,,,,,110.252
3985,212006035,M,ST,,,,,114.098
3986,212006036,M,General(EWS),,,,,120.7644
3987,212006038,M,SC,,,,,131.5332
3988,212006040,F,ST,,,,,88.458
3989,212006041,F,SEBC,,,,,145.6352
3990,212006045,M,SEBC,,,,,117.944
3991,212006046,M,General(EWS),,,,,119.226
3992,212006047,M,SC,,,,,98.4576
3993,212006049,M,General(EWS),,,,,115.38
3994,212006051,M,General,,,,,108.7136
3995,212006053,M,SEBC,,,,,144.866
3996,212006054,F,General(EWS),,,,,155.3784
3997,212006056,M,SEBC,,,,,135.6356
3998,212006057,M,SEBC,,,,,148.9684
3999,212006058,M,SC,,,,,133.0716
4000,212006061,F,General(EWS),,,,,125.1232
4001,212006064,F,SEBC,,,,,118.2004
4002,212006065,M,SEBC,,,,,137.6868
4003,212006068,F,General(EWS),,,,,87.176
4004,212006070,M,General,,,,,119.9952
4005,212006072,M,General(EWS),,,,,111.534
4006,212006074,M,General(EWS),,,,,113.5852
4007,212006075,M,ST,,,,,118.2004
4008,212006076,F,SEBC,,,,,107.9444
4009,212006077,M,SEBC,,,,,99.7396
4010,212006079,M,ST,,,,,90.7656
4011,212006080,M,SEBC,,,,,92.304
4012,212006081,M,General(EWS),,,,,121.5336
4013,212006083,F,General(EWS),,,,,107.688
4014,212006084,M,General(EWS),,,,,142.8148
4015,212006086,M,SEBC,,,,,116.1492
4016,212006087,M,SEBC,,,,,108.7136
4017,212006091,F,General(EWS),,,,,105.3804
4018,212006092,M,SEBC,,,,,137.174
4019,212006093,M,SEBC,,,,,148.9684
4020,212006095,F,SC,,,,,102.8164
4021,212006097,M,SC,,,,,92.5604
4022,212006098,M,General(EWS),,,,,140.2508
4023,212006101,M,General(EWS),,,,,126.918
4024,212006102,F,General(EWS),,,,,90.2528
4025,212006103,M,SEBC,,,,,112.816
4026,212006104,M,General(EWS),,,,,135.1228
4027,212006106,F,SEBC,,,,,97.432
4028,212006107,M,SEBC,,,,,87.4324
4029,212006108,M,SC,,,,,103.842
4030,212006109,M,SEBC,,,,,145.6352
4031,212006110,M,SC,,,,,106.6624
4032,212006111,M,SC,,,,,121.79
4033,212006112,F,SC,,,YES,,85.894
4034,212006113,M,General(EWS),,,,,113.8416
4035,212006115,M,SEBC,,,,,135.892
4036,212006116,M,ST,,,,,85.894
4037,212006117,M,SC,,,,,105.8932
4038,212006118,M,General(EWS),,,,,128.4564
4039,212006121,M,SEBC,,,,,129.2256
4040,212006122,F,SEBC,,,,,94.3552
4041,212006123,F,SEBC,,,,,108.4572
4042,212006125,F,SEBC,,,,,88.2016
4043,212006126,M,ST,,,,,95.1244
4044,212006127,M,General,,,,,107.1752
4045,212006128,F,General,,,,,96.15
4046,212006130,F,SEBC,,,,,110.7648
4047,212006134,F,General(EWS),,,,,112.0468
4048,212006135,M,ST,,,,,113.8416
4049,212006136,F,SEBC,,,,,95.1244
4050,212006137,M,ST,,,,,101.5344
4051,212006138,M,General(EWS),,,,,140.7636
4052,212006139,M,SEBC,,,,,132.046
4053,212006140,M,SEBC,,,,,131.0204
4054,212006141,M,SEBC,,,,,132.046
4055,212006143,F,General(EWS),,,,,87.9452
4056,212006144,M,General(EWS),,,,,95.8936
4057,212006145,M,SEBC,,,,,138.1996
4058,212006146,F,SEBC,,,,,170.506
4059,212006147,M,General(EWS),,,,,133.0716
4060,212006148,F,SC,,,,,95.6372
4061,212006149,M,General(EWS),,,,,101.7908
4062,212006150,M,SEBC,,,,,126.4052
4063,212006152,M,SEBC,,,,,114.3544
4064,212006153,M,SEBC,,,,,82.8172
4065,212006155,M,SEBC,,,,,117.1748
4066,212006156,M,ST,,,,,102.3036
4067,212006157,M,SC,,,,,128.7128
4068,212006158,F,General,,,,,83.0736
4069,212006160,F,SEBC,,,,,109.7392
4070,212006161,M,SEBC,,,,,105.3804
4071,212006162,F,SEBC,,,,,130.5076
4072,212006163,F,General(EWS),,,,,123.3284
4073,212006164,M,General,,Yes,,,117.1748
4074,212006165,M,SEBC,,,,,102.0472
4075,212006166,F,SC,,,,,114.3544
4076,212006167,F,SC,,,,,101.0216
4077,212006169,M,SC,,,,,111.7904
4078,212006170,M,SEBC,,,,,131.7896
4079,212006172,M,ST,,,,,109.7392
4080,212006173,M,SEBC,,,,,123.5848
4081,212006174,M,General(EWS),,,,,142.5584
4082,212006175,M,General(EWS),,,,,133.328
4083,212006177,M,SC,,,,,99.2268
4084,212006178,F,SC,,,,,93.8424
4085,212006179,M,General(EWS),,,,,134.0972
4086,212006180,F,General(EWS),,,,,108.2008
4087,212006181,M,SEBC,,,,,122.5592
4088,212006183,F,SEBC,,,,,125.1232
4089,212006185,F,SC,,,,,137.9432
4090,212006186,M,General(EWS),,,,,107.688
4091,212006188,F,General,,,,,115.8928
4092,212006190,F,SEBC,,,,,95.3808
4093,212006191,F,ST,,,,,84.8684
4094,212006192,M,ST,,,,,91.2784
4095,212006197,M,ST,,,,,133.328
4096,212006198,M,General(EWS),,,,,131.5332
4097,212006199,M,ST,,,,,107.1752
4098,212006200,F,ST,,,,,96.15
4099,212006201,M,ST,,,,,85.6376
4100,212006202,F,SEBC,,,,,82.8172
4101,212006203,F,General,,,,,100.5088
4102,212006204,F,SEBC,,,,,125.636
4103,212006205,F,ST,,,,,80.2532
4104,212006206,F,General,,,,,98.9704
4105,212006207,M,SEBC,,,,,140.2508
4106,212006208,M,SEBC,,,,,92.0476
4107,212006209,F,SEBC,,,,,84.612
4108,212006210,M,SEBC,,,,,143.8404
4109,212006211,F,SEBC,,,,,122.3028
4110,212006213,M,General(EWS),,,,,133.5844
4111,212006214,M,ST,,,YES,,85.894
4112,212006215,F,SEBC,,,,,97.6884
4113,212006218,M,SEBC,,,,,146.6608
4114,212006219,M,SC,,,,,140.2508
4115,212006220,M,SC,,,,,104.8676
4116,212006222,M,ST,,,,,89.74
4117,212006223,M,SEBC,,,,,125.1232
4118,212006226,M,General(EWS),,,,,149.2248
4119,212006227,M,General,,,,,135.892
4120,212006228,F,ST,,,,,104.0984
4121,212006229,M,SC,,,,,113.5852
4122,212006230,F,SEBC,,,,,84.8684
4123,212006233,M,General(EWS),,,,,125.1232
4124,212006234,M,SEBC,,,,,128.7128
4125,212006235,M,SEBC,,,,,108.97
4126,212006236,F,ST,,,,,101.0216
4127,212006238,F,SEBC,,,,,104.8676
4128,212006239,F,SEBC,,,,,100.2524
4129,212006240,F,ST,,,,,112.816
4130,212006241,M,General(EWS),,,,,158.4552
4131,212006242,F,ST,,,,,109.7392
4132,212006243,M,SEBC,,,,,107.688
4133,212006244,M,SEBC,,,,,109.2264
4134,212006245,M,SEBC,,,,,128.2
4135,212006248,M,General,,,,,134.8664
4136,212006249,M,SEBC,,,,,141.2764
4137,212006250,M,General(EWS),,,,,115.38
4138,212006251,M,SEBC,,,,,122.0464
4139,212006252,F,SC,,,,,102.0472
4140,212006253,M,SC,,,,,122.3028
4141,212006254,F,SEBC,,,,,110.5084
4142,212006255,F,SC,,,,,90.5092
4143,212006258,M,SEBC,,,,,113.8416
4144,212006262,F,ST,,,,,90.5092
4145,212006264,M,SEBC,,,,,124.8668
4146,212006265,M,General(EWS),,,,,146.6608
4147,212006267,F,SEBC,,,,,137.4304
4148,212006268,M,General,,,,,126.4052
4149,212006269,M,General(EWS),,,,,128.2
4150,212006270,F,General,,,,,130.5076
4151,212006274,M,General(EWS),,,,,97.432
4152,212006276,M,General(EWS),,,,,102.0472
4153,212006277,F,General(EWS),,,,,128.9692
4154,212006278,M,General(EWS),,,,,129.9948
4155,212006279,M,SEBC,,,,,100.7652
4156,212006280,F,SEBC,,,,,99.4832
4157,212006281,M,SEBC,,,,,147.43
4158,212006283,F,General(EWS),,,,,88.9708
4159,212006284,F,SEBC,,,,,113.8416
4160,212006285,M,SC,,,,,126.1488
4161,212006287,F,SEBC,,,,,81.7916
4162,212006288,M,General(EWS),,,,,133.0716
4163,212006289,M,ST,,,,,83.33
4164,212006290,M,General(EWS),,,,,153.3272
4165,212006291,M,SEBC,,,,,128.4564
4166,212006292,F,SEBC,,,,,141.7892
4167,212006294,M,SEBC,,,,,130.5076
4168,212006295,M,SEBC,,,,,131.5332
4169,212006296,M,SEBC,,,,,113.3288
4170,212006298,M,General(EWS),,,,,126.6616
4171,212006300,M,SEBC,,,,,106.406
4172,212006301,M,ST,,,,,111.7904
4173,212006302,F,SC,,,,,81.0224
4174,212006303,M,SEBC,,,,,129.482
4175,212006304,M,ST,,,,,108.97
4176,212006305,M,General(EWS),,,,,80.5096
4177,212006306,M,SC,,,,,133.8408
4178,212006307,F,General(EWS),,,,,108.97
4179,212006308,M,SEBC,,,,,119.7388
4180,212006309,F,SEBC,,,,,108.7136
4181,212006312,F,ST,,,,,96.15
4182,212006313,F,SC,,,,,115.8928
4183,212006316,F,SEBC,,,,,85.6376
4184,212006317,M,SEBC,,,YES,,120.7644
4185,212006318,F,SEBC,,,,,102.0472
4186,212006319,M,SEBC,,,,,125.1232
4187,212006320,M,SC,,,,,93.8424
4188,212006321,F,SC,,,,,110.5084
4189,212006322,M,SC,,,,,125.8924
4190,212006323,M,General,,,,,103.3292
4191,212006325,M,General(EWS),,,,,117.944
4192,212006326,M,SEBC,,,,,117.4312
4193,212006327,M,ST,,,,,115.1236
4194,212006329,M,SEBC,,,,,114.3544
4195,212006330,M,General(EWS),,,,,120.508
4196,212006331,M,SEBC,,,,,139.738
4197,212006335,M,General(EWS),,,,,81.0224
4198,212006336,M,ST,,,,,109.2264
4199,212006337,M,SC,,,,,122.5592
4200,212006338,F,ST,,,,,112.816
4201,212006340,M,SC,,,,,133.328
4202,212006341,M,ST,,,,,89.74
4203,212006342,F,ST,,,,,92.304
4204,212006343,M,SEBC,,,,,125.636
4205,212006344,M,SC,,,,,88.458
4206,212006345,M,ST,,,,,98.714
4207,212006347,M,ST,,,,,90.5092
4208,212006348,M,SEBC,,,,,144.0968
4209,212006349,F,SEBC,,,,,133.328
4210,212006351,M,SEBC,,,,,92.304
4211,212006352,F,SEBC,,,,,110.252
4212,212006353,M,SEBC,,,,,144.6096
4213,212006354,M,SEBC,,,,,113.8416
4214,212006355,F,SEBC,,,,,81.2788
4215,212006356,F,SEBC,,,,,111.2776
4216,212006357,M,SEBC,,,,,124.0976
4217,212006358,M,SEBC,,,,,149.994
4218,212006359,M,SEBC,,,,,131.5332
4219,212006360,M,SC,,,,,133.0716
4220,212006361,F,SEBC,,,,,100.5088
4221,212006362,M,General,,,,,82.8172
4222,212006363,M,SEBC,,,,,133.5844
4223,212006365,F,ST,,,,,84.8684
4224,212006366,F,General,,,,,92.8168
4225,212006367,F,SEBC,,,,,102.3036
4226,212006368,F,General,,,,,134.0972
4227,212006369,F,General,,,,,144.6096
4228,212006371,F,ST,,,,,104.8676
4229,212006372,M,SEBC,,,,,122.3028
4230,212006374,M,General,,,,,128.4564
4231,212006375,M,General(EWS),,,,,114.8672
4232,212006377,F,SEBC,,,YES,,96.6628
4233,212006379,M,SEBC,,,,,141.02
4234,212006380,F,SEBC,,,,,123.5848
4235,212006381,M,SC,,,,,128.4564
4236,212006382,M,SEBC,,,,,113.0724
4237,212006383,M,SEBC,,,,,114.8672
4238,212006384,M,ST,,,,,118.9696
4239,212006385,F,SEBC,,,,,102.3036
4240,212006386,M,General(EWS),,,,,92.0476
4241,212006387,M,SEBC,,,,,130.2512
4242,212006389,M,General(EWS),,,,,130.2512
4243,212006392,M,General,,,,,136.9176
4244,212006393,M,SEBC,,,,,132.5588
4245,212006394,F,SC,,,,,136.1484
4246,212006395,F,General(EWS),,,,,104.8676
4247,212006396,F,SEBC,,,,,84.612
4248,212006398,M,SEBC,,,,,125.8924
4249,212006399,F,SEBC,,,,,110.7648
4250,212006400,M,ST,,,,,96.9192
4251,212006402,F,General,,,,,105.124
4252,212006403,M,SEBC,,,,,104.3548
4253,212006404,F,SEBC,,,,,97.9448
4254,212006405,M,SEBC,,,,,102.3036
4255,212006406,M,General(EWS),,,,,118.7132
4256,212006407,M,SEBC,,,,,132.046
4257,212006408,M,General(EWS),,,,,125.636
4258,212006409,M,ST,,,,,124.8668
4259,212006412,F,General(EWS),,,,,119.226
4260,212006414,M,SEBC,,,,,136.9176
4261,212006416,M,SC,,,,,144.3532
4262,212006417,M,ST,,,,,87.9452
4263,212006419,M,ST,,,,,97.1756
4264,212006420,M,SEBC,,,,,141.7892
4265,212006421,M,SC,,,,,103.5856
4266,212006422,M,SC,,,,,102.3036
4267,212006423,F,General,,,,,122.0464
4268,212006424,M,General(EWS),,,,,121.0208
4269,212006425,M,SEBC,,,,,137.9432
4270,212006426,M,SC,,,,,119.7388
4271,212006428,F,ST,,,,,92.0476
4272,212006430,F,General(EWS),,,,,104.6112
4273,212006431,M,SEBC,,,,,84.3556
4274,212006435,M,SEBC,,,,,89.9964
4275,212006436,M,SEBC,,,,,143.3276
4276,212006437,M,General(EWS),,,,,98.2012
4277,212006438,M,SC,,,,,84.8684
4278,212006440,M,SEBC,,,,,92.0476
4279,212006441,M,SEBC,,,,,142.302
4280,212006442,F,General(EWS),,,,,112.0468
4281,212006446,M,ST,,,,,128.7128
4282,212006447,M,SEBC,,,,,110.7648
4283,212006452,M,SEBC,,,,,132.046
4284,212006455,M,General(EWS),,,,,95.3808
4285,212006456,F,General(EWS),,,,,109.7392
4286,212006457,M,SEBC,,,,,145.3788
4287,212006458,M,General(EWS),,,,,106.406
4288,212006459,M,SEBC,,,,,114.098
4289,212006460,F,ST,,,,,105.6368
4290,212006461,M,ST,,,YES,,98.2012
4291,212006463,M,General(EWS),,,,,142.0456
4292,212006464,M,SEBC,,,,,111.7904
4293,212006466,M,ST,,,,,106.9188
4294,212006467,M,SEBC,,,,,127.4308
4295,212006468,M,ST,,,,,90.5092
4296,212006469,M,ST,,,,,106.406
4297,212006470,M,SEBC,,,,,115.6364
4298,212006472,F,SEBC,,,,,121.5336
4299,212006473,M,SEBC,,,,,125.8924
4300,212006474,M,SEBC,,,,,126.918
4301,212006476,M,SEBC,,,,,145.1224
4302,212006477,F,SC,,,,,121.0208
4303,212006478,F,SEBC,,,,,92.8168
4304,212006479,F,ST,,,,,115.8928
4305,212006480,F,SEBC,,,,,121.0208
4306,212006481,M,SEBC,,,,,123.072
4307,212006483,F,SEBC,,,,,127.1744
4308,212006484,M,SC,,,,,81.0224
4309,212006486,M,General,,,,,130.764
4310,212006487,M,SEBC,,,,,116.1492
4311,212006488,M,ST,,,,,105.6368
4312,212006489,M,General,,,YES,,107.1752
4313,212006490,F,SC,,,,,95.8936
4314,212006491,M,General,,,,,146.148
4315,212006492,M,SC,,,,,119.4824
4316,212006493,F,General(EWS),,,,,128.7128
4317,212006494,M,General(EWS),,,,,138.7124
4318,212006495,M,General(EWS),,,,,135.6356
4319,212006497,F,ST,,,,,91.022
4320,212006499,M,SC,,,,,98.714
4321,212006500,F,General,,,,,132.046
4322,212006503,M,SEBC,,,,,111.0212
4323,212006504,M,SEBC,,,,,139.738
4324,212006507,F,SEBC,,,,,94.868
4325,212006508,M,SEBC,,,,,148.712
4326,212006510,F,General,,,,,101.5344
4327,212006511,M,SC,,,,,137.9432
4328,212006512,M,ST,,,,,85.6376
4329,212006513,M,SEBC,,,,,133.0716
4330,212006515,M,SEBC,,,,,136.1484
4331,212006516,F,SEBC,,,,,129.7384
4332,212006517,M,General,,,,,87.6888
4333,212006522,M,ST,,,,,97.1756
4334,212006523,M,SC,,,,,106.406
4335,212006524,M,SC,,,,,126.918
4336,212006525,F,General(EWS),,,,,94.6116
4337,212006527,M,SEBC,,,,,88.7144
4338,212006528,F,General(EWS),,,,,104.8676
4339,212006529,F,General(EWS),,,,,119.7388
4340,212006531,M,General(EWS),,,,,119.226
4341,212006532,M,SC,,,,,96.9192
4342,212006533,F,SEBC,,,,,100.5088
4343,212006534,F,SEBC,,,,,128.7128
4344,212006538,F,SEBC,,,,,127.1744
4345,212006540,M,SEBC,,,,,107.9444
4346,212006541,M,SEBC,,,,,89.74
4347,212006542,F,General(EWS),,,,,122.5592
4348,212006543,M,General,,,,,88.2016
4349,212006544,F,SEBC,,,,,86.1504
4350,212006547,M,SEBC,,,,,138.7124
4351,212006549,M,SEBC,,,,,105.8932
4352,212006550,M,General(EWS),,,,,97.6884
4353,212006551,M,SEBC,,,,,126.1488
4354,212006554,M,SEBC,,,,,129.482
4355,212006555,M,SEBC,,,,,85.1248
4356,212006556,M,ST,,,YES,,104.8676
4357,212006557,M,General(EWS),,,,,111.0212
4358,212006560,M,SEBC,,,,,90.7656
4359,212006561,F,SEBC,,,,,113.0724
4360,212006562,M,ST,,,,,91.2784
4361,212006563,F,General(EWS),,,,,104.6112
4362,212006564,M,SEBC,,,,,112.3032
4363,212006567,F,General,,,,,97.1756
4364,212006569,M,SEBC,,,,,134.3536
4365,212006570,M,SC,,,,,119.226
4366,212006572,F,SEBC,,,,,106.406
4367,212006573,M,General(EWS),,,,,87.176
4368,212006574,M,SEBC,,,,,144.866
4369,212006575,M,SEBC,,,,,112.3032
4370,212006576,F,SEBC,,,,,90.2528
4371,212006577,M,SEBC,,,,,107.9444
4372,212006578,M,SEBC,,,,,111.0212
4373,212006579,M,SEBC,,,,,119.4824
4374,212006580,F,SC,,,,,144.3532
4375,212006582,M,ST,,,,,121.79
4376,212006585,M,General(EWS),,,,,102.3036
4377,212006588,F,SEBC,,,,,146.9172
4378,212006591,M,SEBC,,,,,115.8928
4379,212006592,F,SEBC,,,,,132.5588
4380,212006594,M,General(EWS),,,,,81.2788
4381,212006599,F,General,,,,,94.0988
4382,212006600,M,General(EWS),,,,,115.6364
4383,212006601,M,SEBC,,,,,105.6368
4384,212006603,M,General,,,,,91.2784
4385,212006605,M,SEBC,,,,,83.33
4386,212006606,F,SEBC,,,,,101.278
4387,212006608,M,SEBC,,,,,127.9436
4388,212006609,M,General(EWS),,,,,125.8924
4389,212006613,M,SEBC,,,,,169.4804
4390,212006614,M,General(EWS),,,,,145.8916
4391,212006616,M,SEBC,,,,,114.8672
4392,212006618,M,SEBC,,,,,104.6112
4393,212006619,M,General(EWS),,,,,116.1492
4394,212006620,M,SEBC,,,,,119.4824
4395,212006621,F,SEBC,,,,,116.4056
4396,212006622,M,SEBC,,,,,106.406
4397,212006623,F,General(EWS),,,,,97.6884
4398,212006624,M,General(EWS),,,,,115.1236
4399,212006625,M,SEBC,,,,,142.5584
4400,212006627,F,SC,,,,,124.0976
4401,212006629,M,SEBC,,,,,111.7904
4402,212006630,M,General(EWS),,,,,109.2264
4403,212006631,M,General,,,,,89.4836
4404,212006634,M,SEBC,,,,,120.508
4405,212006635,M,General(EWS),,,,,140.7636
4406,212006636,F,ST,,,,,116.662
4407,212006637,F,SEBC,,,,,123.072
4408,212006638,M,ST,,,,,110.5084
4409,212006640,M,SEBC,,,,,112.5596
4410,212006642,M,SEBC,,,,,122.0464
4411,212006643,M,SC,,,,,108.2008
4412,212006644,F,SC,,,,,99.996
4413,212006645,M,SEBC,,,,,103.3292
4414,212006646,F,SEBC,,,,,93.0732
4415,212006647,M,ST,,,,,81.0224
4416,212006648,M,ST,,,YES,,95.3808
4417,212006651,M,SEBC,,,,,106.406
4418,212006652,M,ST,,,,,83.5864
4419,212006654,M,SEBC,,,,,105.6368
4420,212006656,F,General(EWS),,,,,100.2524
4421,212006659,M,General,,,,,121.2772
4422,212006660,M,SEBC,,,,,111.534
4423,212006661,F,General(EWS),,,,,85.1248
4424,212006662,M,SEBC,,,,,117.4312
4425,212006663,M,SEBC,,,,,115.8928
4426,212006664,M,SEBC,,,,,110.252
4427,212006666,M,SEBC,,,,,154.6092
4428,212006668,M,General,,,,,146.6608
4429,212006670,M,SEBC,,,,,108.7136
4430,212006671,M,SEBC,,,,,141.2764
4431,212006672,M,ST,,,,,124.6104
4432,212006673,M,ST,,,,,117.4312
4433,212006675,F,ST,,,,,106.9188
4434,212006677,M,SC,,,,,132.5588
4435,212006678,M,SEBC,,,YES,,94.0988
4436,212006679,M,General,,,,,123.3284
4437,212006680,F,General(EWS),,,,,117.6876
4438,212006682,M,ST,,,,,98.714
4439,212006683,F,SC,,,YES,,98.714
4440,212006686,F,SEBC,,,,,93.0732
4441,212006687,M,General(EWS),,,,,102.3036
4442,212006688,M,SEBC,,,,,154.3528
4443,212006689,M,SEBC,,,,,116.1492
4444,212006690,M,SEBC,,,,,126.918
4445,212006691,M,SC,,,,,112.816
4446,212006692,F,General(EWS),,,,,135.3792
4447,212006693,M,SEBC,,,,,101.278
4448,212006694,F,SC,,,,,112.0468
4449,212006695,F,SEBC,,,,,103.3292
4450,212006696,M,ST,,,,,103.842
4451,212006697,M,General(EWS),,,,,100.5088
4452,212006698,M,General,,Yes,,,99.996
4453,212006699,M,SC,,,,,94.0988
4454,212006701,M,SEBC,,,,,131.2768
4455,212006704,M,SEBC,,,,,139.4816
4456,212006705,M,SEBC,,,,,134.61
4457,212006707,F,General(EWS),,,,,85.3812
4458,212006709,F,SEBC,,,,,114.098
4459,212006710,M,SC,,,,,140.5072
4460,212006711,F,SC,,,,,89.4836
4461,212006712,F,General(EWS),,,,,125.3796
4462,212006714,F,SC,,,,,106.406
4463,212006715,F,ST,,,,,106.406
4464,212006716,F,SEBC,,,,,99.996
4465,212006717,M,SEBC,,,,,114.098
4466,212006718,M,SEBC,,,,,99.996
4467,212006719,M,SEBC,,,,,119.7388
4468,212006721,F,SC,,,,,93.0732
4469,212006722,M,SEBC,,,,,143.584
4470,212006723,M,General(EWS),,,,,84.612
4471,212006724,M,General(EWS),,,,,121.0208
4472,212006726,M,General(EWS),,,,,128.2
4473,212006730,M,ST,,,,,95.6372
4474,212006731,F,SEBC,,,,,81.0224
4475,212006732,M,SC,,,,,101.0216
4476,212006733,F,SEBC,,,,,134.0972
4477,212006736,M,SEBC,,,,,138.456
4478,212006738,F,SEBC,,,,,109.9956
4479,212006740,M,SEBC,,,,,129.482
4480,212006741,M,ST,,,,,109.7392
4481,212006742,M,ST,,,,,110.7648
4482,212006744,M,SEBC,,,,,106.406
4483,212006746,M,ST,,,,,81.7916
4484,212006747,M,General(EWS),,,,,116.4056
4485,212006748,M,SEBC,,,,,99.7396
4486,212006749,M,ST,,,,,105.6368
4487,212006751,M,ST,,,,,95.3808
4488,212006752,M,SEBC,,,,,82.8172
4489,212006753,M,General(EWS),,,,,124.0976
4490,212006754,M,SEBC,,,,,147.6864
4491,212006755,F,SC,,,,,95.6372
4492,212006758,M,General(EWS),,,,,119.7388
4493,212006759,M,SEBC,,,,,112.5596
4494,212006760,M,General,,,,,88.458
4495,212006761,F,SEBC,,,,,87.6888
4496,212006763,M,General,,,,,133.328
4497,212006764,F,SC,,,,,83.5864
4498,212006765,F,General,,,,,108.4572
4499,212006767,M,SC,,,,,132.046
4500,212006769,M,SEBC,,,,,124.8668
4501,212006770,M,SEBC,,,,,144.6096
4502,212006771,M,SEBC,,,,,141.5328
4503,212006774,F,General(EWS),,,,,123.3284
4504,212006775,M,General(EWS),,,,,123.5848
4505,212006776,F,ST,,,,,101.0216
4506,212006777,F,General(EWS),,,,,100.5088
4507,212006778,F,SEBC,,,,,108.97
4508,212006779,F,SEBC,,,,,123.5848
4509,212006781,F,SEBC,,,,,111.7904
4510,212006783,F,General,,,,,81.5352
4511,212006784,F,SEBC,,,,,84.612
4512,212006785,F,General(EWS),,,,,138.9688
4513,212006786,M,SC,,,,,97.9448
4514,212006788,M,SEBC,,,,,132.8152
4515,212006789,M,SEBC,,,,,115.1236
4516,212006790,F,SEBC,,,,,107.688
4517,212006791,F,General(EWS),,,,,124.8668
4518,212006792,M,SC,,,,,132.5588
4519,212006794,M,SEBC,,,,,103.3292
4520,212006795,F,SEBC,,,,,119.7388
4521,212006796,M,General(EWS),,,,,93.586
4522,212006798,F,SEBC,,,,,148.9684
4523,212006799,F,SC,,,,,137.9432
4524,212006800,M,ST,,,,,88.9708
4525,212006802,M,SEBC,,,,,119.4824
4526,212006803,M,ST,,,,,106.406
4527,212006804,M,SEBC,,,,,97.432
4528,212006805,M,ST,,,,,117.1748
4529,212006808,F,SEBC,,,,,123.3284
4530,212006809,M,SEBC,,,,,114.8672
4531,212006811,F,General(EWS),,,,,87.176
4532,212006816,M,General(EWS),,,,,117.1748
4533,212006820,M,ST,,,,,110.5084
4534,212006823,M,ST,,,,,98.4576
4535,212006826,F,SEBC,,,,,141.7892
4536,212006827,M,SEBC,,,,,121.0208
4537,212006828,M,SC,,,,,117.4312
4538,212006830,M,SC,,,,,112.816
4539,212006831,M,SEBC,,,,,116.4056
4540,212006833,M,SEBC,,,,,149.4812
4541,212006834,M,SEBC,,,,,142.5584
4542,212006835,F,SEBC,,,,,91.5348
4543,212006836,F,SEBC,,,,,130.2512
4544,212006837,M,SEBC,,,,,141.02
4545,212006838,M,SC,,,,,118.7132
4546,212006839,M,SEBC,,,,,136.4048
4547,212006841,M,SC,,,,,155.3784
4548,212006842,M,SC,,,,,142.302
4549,212006843,M,SEBC,,,,,109.9956
4550,212006844,M,General(EWS),,,,,114.3544
4551,212006845,M,General(EWS),,,,,94.0988
4552,212006846,F,SC,,,,,100.7652
4553,212006847,M,General(EWS),,,,,162.814
4554,212006848,M,SC,,,,,95.1244
4555,212006849,M,General(EWS),,,,,97.9448
4556,212006851,M,SEBC,,,,,119.7388
4557,212006852,F,SEBC,,,,,96.15
4558,212006853,M,SC,,,,,112.0468
4559,212006854,M,ST,,,,,121.5336
4560,212006855,F,ST,,,,,101.0216
4561,212006860,F,SEBC,,,,,86.9196
4562,212006862,F,General,,,,,143.584
4563,212006863,M,General(EWS),,,,,104.8676
4564,212006864,F,SEBC,,,,,98.2012
4565,212006865,M,SEBC,,,,,139.2252
4566,212006866,M,SC,,,,,83.33
4567,212006867,M,SEBC,,,,,133.5844
4568,212006868,F,SEBC,,,,,89.4836
4569,212006870,F,ST,,,,,110.252
4570,212006871,F,General,,,,,99.7396
4571,212006872,F,General,,,,,95.3808
4572,212006873,M,SEBC,,,,,90.2528
4573,212006874,M,General,,,,,119.4824
4574,212006875,F,SEBC,,,,,111.534
4575,212006876,M,SEBC,,,,,91.7912
4576,212006877,M,SEBC,,,,,129.2256
4577,212006878,M,SEBC,,,,,137.6868
4578,212006879,M,SEBC,,,,,140.2508
4579,212006880,M,General(EWS),,,,,116.1492
4580,212006881,F,ST,,,,,118.7132
4581,212006882,M,ST,,,,,114.098
4582,212006883,M,General(EWS),,,,,136.9176
4583,212006887,M,SC,,,,,80.5096
4584,212006888,F,General(EWS),,,,,119.226
4585,212006889,F,SEBC,,,,,107.688
4586,212006890,F,SEBC,,,,,99.7396
4587,212006892,M,General,,,,,128.4564
4588,212006893,F,ST,,,,,82.048
4589,212006895,M,SEBC,,,,,115.6364
4590,212006896,M,SC,,,,,80.766
4591,212006897,F,General,,,,,101.5344
4592,212006902,M,SEBC,,,,,162.814
4593,212006904,M,SEBC,,,,,149.2248
4594,212006907,M,SEBC,,,,,114.8672
